TIM_DAY,ITE_AUCTION_START_DATETIME,ITE_AUCTION_STOP_DATETIME,DEALER_TYPE_GROUP_DESC,OPERATION,TOTAL_AREA,COVERED_AREA,BEDROOMS,ROOMS,ITE_ITEM_ID,PROPERTY_TYPE,SIT_CURRENCY_ID,ITE_CURRENT_PRICE,PRECIO_LOCAL,ID Final,mes,tc_prom,geometry,dummy_dolar,precio_pesos,precio_dolares,pesosm2tot,dolaresm2tot,pesosm2_cub,dolaresm2_cub,desarrollo prioritario,fid,cod_ent,cod_loc,nombre,zona_venta,zona_alq,digitos_iguales,digitos_iguales_pesos,digitos_iguales_m2tot,borrar
2024-04-11T00:00:00Z,2024-03-16 12:17:57,2024-06-14 00:00:00,Inmobiliaria,Alquiler,80,80,2,3,NA,Casa,ARG,350000,350000,1830681287,2024-04,1035.92,"c(-58.5519494, -34.6190888)",FALSE,350000,337.86,4375,4.22,4375,4.22,NA,18,01,06840010,Caseros,Caseros,Caseros,FALSE,FALSE,FALSE,FALSE
2024-04-29T00:00:00Z,2024-04-11 16:07:05,2024-07-10 00:00:00,Inmobiliaria,Alquiler,170,90,2,3,NA,Casa,ARG,450000,450000,1842318191,2024-04,1035.92,"c(-58.5813054, -34.5910046)",FALSE,450000,434.4,2647.06,2.56,5000,4.83,NA,20,08,06840010,Martín Coronado,Martín Coronado,Centro,FALSE,FALSE,FALSE,FALSE
2024-04-29T00:00:00Z,2024-02-24 10:21:33,2024-05-24 00:00:00,Inmobiliaria,Alquiler,36,36,1,2,NA,Casa,ARG,210000,210000,2361679945,2024-04,1035.92,"c(-58.5838113, -34.5772269)",FALSE,210000,202.72,5833.33,5.63,5833.33,5.63,NA,22,14,06840010,Villa Bosch,Villa Bosch,Centro,FALSE,FALSE,FALSE,FALSE
2024-04-29T00:00:00Z,2024-03-24 21:55:13,2024-06-22 00:00:00,Inmobiliaria,Alquiler,210,190,5,NA,NA,Casa,ARG,550000,550000,1834910455,2024-04,1035.92,"c(-58.531603, -34.6358733)",FALSE,550000,530.93,2619.05,2.53,2894.74,2.79,DP,30,04,06840010,Ciudadela,Ciudadela,Sur,FALSE,FALSE,FALSE,FALSE
2024-04-29T00:00:00Z,2024-04-05 08:51:58,2024-07-04 00:00:00,Inmobiliaria,Alquiler,329,180,2,NA,NA,Casa,ARG,650000,650000,2461642821,2024-04,1035.92,"c(-58.5747642, -34.5867749)",FALSE,650000,627.46,1975.68,1.91,3611.11,3.49,NA,22,14,06840010,Villa Bosch,Villa Bosch,Centro,FALSE,FALSE,FALSE,FALSE
2024-04-29T00:00:00Z,2024-04-29 11:30:28,2024-07-28 00:00:00,Inmobiliaria,Alquiler,300,220,4,6,NA,Casa,ARG,650000,650000,2511737481,2024-04,1035.92,"c(-58.5835979, -34.574366)",FALSE,650000,627.46,2166.67,2.09,2954.55,2.85,NA,22,14,06840010,Villa Bosch,Villa Bosch,Centro,FALSE,FALSE,FALSE,FALSE
2024-04-13T00:00:00Z,2024-04-04 10:20:59,2024-07-03 00:00:00,Inmobiliaria,Alquiler,120,80,2,4,NA,Casa,ARG,350000,350000,2459992853,2024-04,1035.92,"c(-58.5615036, -34.5925007)",FALSE,350000,337.86,2916.67,2.82,4375,4.22,NA,18,01,06840010,Caseros,Caseros,Caseros,FALSE,FALSE,FALSE,FALSE
2024-04-15T00:00:00Z,2024-03-18 17:59:23,2024-04-17 00:00:00,Fsbo,Alquiler,55,55,2,NA,NA,Casa,ARG,230000,230000,1831844923,2024-04,1035.92,"c(-58.5361031, -34.6318595)",FALSE,230000,222.02,4181.82,4.04,4181.82,4.04,NA,30,04,06840010,Ciudadela,Ciudadela,Sur,FALSE,FALSE,TRUE,FALSE
2024-04-29T00:00:00Z,2024-04-08 16:30:18,2024-07-07 00:00:00,Inmobiliaria,Alquiler,300,201,4,7,NA,Casa,ARG,1350000,1350000,2467337633,2024-04,1035.92,"c(-58.5895497, -34.6044672)",FALSE,1350000,1303.19,4500,4.34,6716.42,6.48,NA,19,03,06840010,Ciudad Jardín Lomas del Palomar,Ciudad Jardín Lomas del Palomar,Centro,FALSE,FALSE,FALSE,FALSE
2024-04-17T00:00:00Z,2024-03-20 17:46:34,2024-04-19 00:00:15,Fsbo,Alquiler,90,90,3,NA,NA,Casa,ARG,400000,400000,2425045905,2024-04,1035.92,"c(-58.5309345, -34.5974736)",FALSE,400000,386.13,4444.44,4.29,4444.44,4.29,NA,29,12,06840010,Sáenz Peña,Sáenz Peña,Este,FALSE,FALSE,FALSE,FALSE
2024-04-13T00:00:00Z,2024-01-11 14:45:01,2024-04-14 10:52:02,Inmobiliaria,Alquiler,150,100,2,3,NA,Casa,ARG,420000,420000,2254737661,2024-04,1035.92,"c(-58.5772815, -34.5793697)",FALSE,420000,405.44,2800,2.7,4200,4.05,NA,22,14,06840010,Villa Bosch,Villa Bosch,Centro,FALSE,FALSE,FALSE,FALSE
2024-04-29T00:00:00Z,2024-04-20 23:16:01,2024-07-19 00:00:00,Inmobiliaria,Alquiler,150,100,2,3,NA,Casa,ARG,420000,420000,2493076077,2024-04,1035.92,"c(-58.5772815, -34.5793697)",FALSE,420000,405.44,2800,2.7,4200,4.05,NA,22,14,06840010,Villa Bosch,Villa Bosch,Centro,FALSE,FALSE,FALSE,FALSE
2024-04-21T00:00:00Z,2024-04-09 13:33:21,2024-07-15 10:15:24,Inmobiliaria,Alquiler,121,56,2,3,NA,Casa,ARG,400000,400000,2468361781,2024-04,1035.92,"c(-58.5469166, -34.5995976)",FALSE,400000,386.13,3305.79,3.19,7142.86,6.9,NA,21,13,06840010,Santos Lugares,Santos Lugares,Este,FALSE,FALSE,FALSE,FALSE
2024-04-29T00:00:00Z,2024-04-04 16:08:20,2024-07-03 00:00:00,Inmobiliaria,Alquiler,54,54,2,3,NA,Casa,ARG,300000,300000,1838986715,2024-04,1035.92,"c(-58.5718041, -34.592041)",FALSE,300000,289.6,5555.56,5.36,5555.56,5.36,DP,22,14,06840010,Villa Bosch,Villa Bosch,Centro,FALSE,FALSE,FALSE,FALSE
2024-04-29T00:00:00Z,2024-04-17 12:07:40,2024-07-16 00:00:00,Inmobiliaria,Alquiler,110,110,3,4,NA,Casa,ARG,400000,400000,1844331535,2024-04,1035.92,"c(-58.568129, -34.6068103)",FALSE,400000,386.13,3636.36,3.51,3636.36,3.51,DP,18,01,06840010,Caseros,Caseros,Caseros,FALSE,FALSE,FALSE,FALSE
2024-04-09T00:00:00Z,2024-03-22 16:03:35,2024-12-17 00:00:00,Inmobiliaria,Alquiler,169,120,3,5,NA,Casa,DOL,600,518400,1833725547,2024-04,1035.92,"c(-58.5885524, -34.5960114)",TRUE,621552,600,3677.82,3.55,5179.6,5,NA,19,03,06840010,Ciudad Jardín Lomas del Palomar,Ciudad Jardín Lomas del Palomar,Centro,FALSE,FALSE,FALSE,FALSE
2024-04-29T00:00:00Z,2024-04-04 00:15:04,2024-07-02 00:00:00,Inmobiliaria,Alquiler,140,90,2,3,NA,Casa,DOL,650,568750,1838546323,2024-04,1035.92,"c(-58.5874336, -34.5988481)",TRUE,673348,650,4809.63,4.64,7481.64,7.22,NA,19,03,06840010,Ciudad Jardín Lomas del Palomar,Ciudad Jardín Lomas del Palomar,Centro,FALSE,FALSE,FALSE,FALSE
2024-04-29T00:00:00Z,2024-04-16 09:46:05,2024-07-15 00:00:00,Inmobiliaria,Alquiler,110,106,2,4,NA,Casa,ARG,450000,450000,2484469949,2024-04,1035.92,"c(-58.565252, -34.5949476)",FALSE,450000,434.4,4090.91,3.95,4245.28,4.1,NA,18,01,06840010,Caseros,Caseros,Caseros,FALSE,FALSE,FALSE,FALSE
2024-04-29T00:00:00Z,2024-03-07 15:00:56,2024-06-05 00:00:00,Inmobiliaria,Alquiler,85,70,2,2,NA,Casa,ARG,290000,290000,1827003727,2024-04,1035.92,"c(-58.5537014, -34.6247233)",FALSE,290000,279.94,3411.76,3.29,4142.86,4,NA,30,04,06840010,Ciudadela,Ciudadela,Sur,FALSE,FALSE,FALSE,FALSE
2024-04-15T00:00:00Z,2024-04-09 09:12:30,2024-07-09 16:09:59,Inmobiliaria,Alquiler,150,100,2,3,NA,Casa,ARG,340000,340000,2468394241,2024-04,1035.92,"c(-58.5810784, -34.580394)",FALSE,340000,328.21,2266.67,2.19,3400,3.28,NA,22,14,06840010,Villa Bosch,Villa Bosch,Centro,FALSE,FALSE,FALSE,FALSE
2024-04-09T00:00:00Z,2024-03-15 17:56:25,2024-04-14 00:00:00,Fsbo,Alquiler,90,80,2,NA,NA,Casa,ARG,380000,380000,1830518567,2024-04,1035.92,"c(-58.5646321, -34.6182843)",FALSE,380000,366.82,4222.22,4.08,4750,4.59,NA,18,01,06840010,Caseros,Caseros,Caseros,FALSE,FALSE,FALSE,FALSE
2024-04-28T00:00:00Z,2024-04-16 19:30:11,2024-07-15 00:00:00,Inmobiliaria,Alquiler,110,95,2,NA,NA,Casa,ARG,450000,450000,2485662345,2024-04,1035.92,"c(-58.5925269, -34.5831733)",FALSE,450000,434.4,4090.91,3.95,4736.84,4.57,NA,20,08,06840010,Martín Coronado,Martín Coronado,Centro,FALSE,FALSE,FALSE,FALSE
2024-04-29T00:00:00Z,2024-04-29 13:59:56,2024-07-28 00:00:00,Inmobiliaria,Alquiler,323,163,3,4,NA,Casa,ARG,800000,800000,2511437393,2024-04,1035.92,"c(-58.5884017, -34.5960561)",FALSE,800000,772.26,2476.78,2.39,4907.98,4.74,NA,19,03,06840010,Ciudad Jardín Lomas del Palomar,Ciudad Jardín Lomas del Palomar,Centro,FALSE,FALSE,FALSE,FALSE
2024-04-25T00:00:00Z,2024-03-28 09:07:43,2024-04-27 00:00:00,Fsbo,Alquiler,50,45,1,NA,NA,Casa,ARG,260000,260000,1836272607,2024-04,1035.92,"c(-58.5283475, -34.5983544)",FALSE,260000,250.98,5200,5.02,5777.78,5.58,NA,29,12,06840010,Sáenz Peña,Sáenz Peña,Este,FALSE,FALSE,FALSE,FALSE
2024-04-10T00:00:00Z,2024-03-30 15:53:03,2024-06-28 00:00:00,Inmobiliaria,Alquiler,130,85,2,NA,NA,Casa,ARG,450000,450000,2449968153,2024-04,1035.92,"c(-58.5781019, -34.5909281)",FALSE,450000,434.4,3461.54,3.34,5294.12,5.11,NA,20,08,06840010,Martín Coronado,Martín Coronado,Centro,FALSE,FALSE,FALSE,FALSE
2024-04-06T00:00:00Z,2024-03-12 19:33:06,2024-04-11 00:00:00,Fsbo,Alquiler,180,162,2,NA,NA,Casa,ARG,370000,370000,2403002661,2024-04,1035.92,"c(-58.6177378, -34.5813587)",FALSE,370000,357.17,2055.56,1.98,2283.95,2.2,NA,NA,NA,NA,Altos de Podestá,Altos de Podestá,Centro,FALSE,FALSE,FALSE,FALSE
2024-04-29T00:00:00Z,2024-04-11 19:44:17,2024-07-10 00:00:00,Inmobiliaria,Alquiler,40,40,2,3,NA,Casa,ARG,260000,260000,2475004897,2024-04,1035.92,"c(-58.5424919, -34.6426086)",FALSE,260000,250.98,6500,6.27,6500,6.27,NA,30,04,06840010,Ciudadela,Ciudadela,Sur,FALSE,FALSE,FALSE,FALSE
2024-04-29T00:00:00Z,2024-02-06 17:38:32,2024-05-06 00:00:00,Inmobiliaria,Alquiler,50,50,2,3,NA,Casa,ARG,220000,220000,1814693839,2024-04,1035.92,"c(-58.5762787, -34.6200028)",FALSE,220000,212.37,4400,4.25,4400,4.25,NA,18,01,06840010,Caseros,Caseros,Caseros,FALSE,FALSE,FALSE,FALSE
2024-04-29T00:00:00Z,2024-04-22 10:15:14,2024-07-21 00:00:00,Inmobiliaria,Alquiler,150,70,2,3,NA,Casa,ARG,420000,420000,2495886957,2024-04,1035.92,"c(-58.6097104, -34.5841975)",FALSE,420000,405.44,2800,2.7,6000,5.79,NA,NA,NA,NA,Altos de Podestá,Altos de Podestá,Centro,FALSE,FALSE,FALSE,FALSE
2024-04-29T00:00:00Z,2024-04-24 11:16:57,2024-05-24 00:00:00,Fsbo,Alquiler,80,70,2,NA,NA,Casa,ARG,360000,360000,1846472615,2024-04,1035.92,"c(-58.5627384, -34.6225022)",FALSE,360000,347.52,4500,4.34,5142.86,4.96,NA,18,01,06840010,Caseros,Caseros,Caseros,FALSE,FALSE,FALSE,FALSE
2024-04-15T00:00:00Z,2024-03-18 08:13:50,2024-04-17 00:00:09,Fsbo,Alquiler,110,90,3,4,NA,Casa,ARG,450000,450000,2416680165,2024-04,1035.92,"c(-58.5306331, -34.6115339)",FALSE,450000,434.4,4090.91,3.95,5000,4.83,NA,16,15,06840010,Villa Raffo,Villa Raffo,Sur,FALSE,FALSE,FALSE,FALSE
2024-04-29T00:00:00Z,2024-02-23 19:58:06,2024-05-23 00:00:00,Inmobiliaria,Alquiler,200,100,3,4,NA,Casa,ARG,500000,500000,2361720881,2024-04,1035.92,"c(-58.5685706, -34.5953556)",FALSE,500000,482.66,2500,2.41,5000,4.83,NA,18,01,06840010,Caseros,Caseros,Caseros,FALSE,FALSE,FALSE,FALSE
2024-04-29T00:00:00Z,2024-04-04 13:03:51,2024-07-03 00:00:00,Inmobiliaria,Alquiler,80,80,2,4,NA,Casa,ARG,300000,300000,2460487061,2024-04,1035.92,"c(-58.5615319, -34.597678)",FALSE,300000,289.6,3750,3.62,3750,3.62,NA,18,01,06840010,Caseros,Caseros,Caseros,FALSE,FALSE,FALSE,FALSE
2024-04-25T00:00:00Z,2024-04-04 12:14:55,2024-07-03 00:00:00,Inmobiliaria,Alquiler,120,100,2,3,NA,Casa,ARG,400000,400000,2460102197,2024-04,1035.92,"c(-58.5847623, -34.6062496)",FALSE,400000,386.13,3333.33,3.22,4000,3.86,NA,19,03,06840010,Ciudad Jardín Lomas del Palomar,Ciudad Jardín Lomas del Palomar,Centro,FALSE,FALSE,FALSE,FALSE
2024-04-29T00:00:00Z,2024-04-16 15:23:45,2024-07-15 00:00:00,Inmobiliaria,Alquiler,100,100,2,2,NA,Casa,ARG,300000,300000,1843960195,2024-04,1035.92,"c(-58.6124173, -34.5718703)",FALSE,300000,289.6,3000,2.9,3000,2.9,NA,23,11,06840010,Remedios de Escalada de San Mart�n,Norte,Norte,FALSE,FALSE,FALSE,FALSE
2024-04-29T00:00:00Z,2024-04-22 14:16:31,2024-07-21 00:00:00,Inmobiliaria,Alquiler,32,30,0,1,NA,Departamento,ARG,170000,170000,1845773603,2024-04,1035.92,"c(-58.599051, -34.5798)",FALSE,170000,164.11,5312.5,5.13,5666.67,5.47,NA,20,08,06840010,Martín Coronado,Martín Coronado,Centro,FALSE,FALSE,FALSE,FALSE
2024-04-12T00:00:00Z,2024-02-07 17:48:07,2024-05-09 09:23:02,Inmobiliaria,Alquiler,50,50,2,3,NA,Departamento,ARG,220000,220000,2324134985,2024-04,1035.92,"c(-58.5371386, -34.6377714)",FALSE,220000,212.37,4400,4.25,4400,4.25,NA,30,04,06840010,Ciudadela,Ciudadela,Sur,FALSE,FALSE,FALSE,FALSE
2024-04-28T00:00:00Z,2024-04-18 16:15:19,2024-07-17 00:00:00,Inmobiliaria,Alquiler,40,40,1,2,NA,Departamento,ARG,200000,200000,1844823207,2024-04,1035.92,"c(-58.5945232, -34.5840891)",FALSE,200000,193.07,5000,4.83,5000,4.83,NA,20,08,06840010,Martín Coronado,Martín Coronado,Centro,FALSE,FALSE,FALSE,FALSE
