TIM_DAY,ITE_AUCTION_START_DATETIME,ITE_AUCTION_STOP_DATETIME,DEALER_TYPE_GROUP_DESC,OPERATION,TOTAL_AREA,COVERED_AREA,BEDROOMS,ROOMS,PROPERTY_TYPE,SIT_CURRENCY_ID,ITE_CURRENT_PRICE,PRECIO_LOCAL,ID.Final,mes,tc_prom,geometry,dummy_dolar,precio_pesos,precio_dolares,pesosm2tot,dolaresm2tot,pesosm2_cub,dolaresm2_cub,desarrollo prioritario,fid,cod_ent,cod_loc,nombre,zonas,Ambientes,digitos_iguales,digitos_iguales_pesos,digitos_iguales_m2tot,borrar
2024-11-29T00:00:00Z,"2024-11-27T10:47:54,373000",2025-02-25T00:00:00,Inmobiliaria,Alquiler,30,27,1,1,Departamento,ARG,270000,270000,2934008785,2024-11,1106,"c(-58.5658881, -34.6070075)",FALSE,270000,244.12,9000,8.14,10000,9.04,DP,18,01,06840010,Caseros,Caseros,1 ambiente,FALSE,FALSE,FALSE,FALSE
2024-11-13T00:00:00Z,"2024-11-11T11:07:16,118000",2025-02-09T00:00:00,Inmobiliaria,Alquiler,43,40,1,2,Departamento,ARG,310000,310000,2911233981,2024-11,1106,"c(-58.5921014, -34.5883027)",FALSE,310000,280.29,7209.3,6.52,7750,7.01,DP,20,08,06840010,Martín Coronado,Centro,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-11-29T00:00:00Z,"2024-11-07T09:30:05,897000",2025-02-05T00:00:00,Inmobiliaria,Alquiler,69,65,2,3,Departamento,ARG,425000,425000,1918697355,2024-11,1106,"c(-58.6087534, -34.5822989)",FALSE,425000,384.27,6159.42,5.57,6538.46,5.91,NA,24,10,06840010,Pablo Podestá,Norte,Mas de 3 ambientes,FALSE,FALSE,FALSE,FALSE
2024-11-29T00:00:00Z,"2024-10-30T00:30:03,972000",2025-01-27T00:00:00,Inmobiliaria,Alquiler,37,35,2,3,Departamento,ARG,380000,380000,2893398945,2024-11,1106,"c(-58.552178, -34.6358519)",FALSE,380000,343.58,10270.27,9.29,10857.14,9.82,NA,30,04,06840010,Ciudadela,Sur,Mas de 3 ambientes,FALSE,FALSE,FALSE,FALSE
2024-11-29T00:00:00Z,"2024-10-25T17:06:27,889000","2025-01-23T08:57:22,537000",Inmobiliaria,Alquiler,33,30,1,2,Departamento,ARG,310000,310000,2887678397,2024-11,1106,"c(-58.5899619, -34.5896482)",FALSE,310000,280.29,9393.94,8.49,10333.33,9.34,DP,20,08,06840010,Martín Coronado,Centro,2 ambientes,FALSE,FALSE,TRUE,FALSE
2024-11-05T00:00:00Z,"2024-10-08T09:30:04,601000",2024-11-07T00:00:00,Fsbo,Alquiler,32,32,1,2,Departamento,ARG,330000,330000,2860566269,2024-11,1106,"c(-58.5463525, -34.5941684)",FALSE,330000,298.37,10312.5,9.32,10312.5,9.32,NA,21,13,06840010,Santos Lugares,Este,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-11-28T00:00:00Z,"2024-11-07T17:45:57,756000",2025-02-05T00:00:00,Inmobiliaria,Alquiler,45,40,1,2,Departamento,ARG,300000,300000,1919041155,2024-11,1106,"c(-58.5845436, -34.6079565)",FALSE,300000,271.25,6666.67,6.03,7500,6.78,NA,18,01,06840010,Caseros,Caseros,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-11-22T00:00:00Z,"2024-11-07T11:13:46,004000",2024-12-07T00:00:00,Fsbo,Alquiler,32,32,1,2,Departamento,ARG,330000,330000,2906472473,2024-11,1106,"c(-58.5463525, -34.5941684)",FALSE,330000,298.37,10312.5,9.32,10312.5,9.32,NA,21,13,06840010,Santos Lugares,Este,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-11-29T00:00:00Z,"2024-11-21T11:13:32,523000",2025-02-19T00:00:00,Inmobiliaria,Alquiler,33,31,0,1,Departamento,ARG,320000,320000,2925690885,2024-11,1106,"c(-58.5670305, -34.6065671)",FALSE,320000,289.33,9696.97,8.77,10322.58,9.33,DP,18,01,06840010,Caseros,Caseros,1 ambiente,FALSE,FALSE,TRUE,FALSE
2024-11-29T00:00:00Z,"2024-11-20T19:05:41,358000",2024-12-20T00:00:00,Fsbo,Alquiler,42,41,1,2,Departamento,ARG,350000,350000,2924660353,2024-11,1106,"c(-58.5390165, -34.6425924)",FALSE,350000,316.46,8333.33,7.53,8536.59,7.72,NA,30,04,06840010,Ciudadela,Sur,2 ambientes,FALSE,FALSE,FALSE,FALSE
