"","TIM_DAY","ITE_AUCTION_START_DATETIME","ITE_AUCTION_STOP_DATETIME","DEALER_TYPE_GROUP_DESC","OPERATION","TOTAL_AREA","COVERED_AREA","BEDROOMS","ROOMS","ITE_ITEM_ID","PROPERTY_TYPE","SIT_CURRENCY_ID","ITE_CURRENT_PRICE","PRECIO_LOCAL","ID Final","mes","tc_prom","geometry","dummy_dolar","precio_pesos","precio_dolares","pesosm2tot","dolaresm2tot","pesosm2_cub","dolaresm2_cub","fid","cod_ent","cod_loc","nombre","zona_venta","zona_alq","digitos_iguales","digitos_iguales_pesos","digitos_iguales_m2tot","borrar","ID FINAL","ID","desarrollo prioritario","zonas","Ambientes","Item ID"
"1","2023-11-29T00:00:00Z","2022-08-11T10:07:08Z","2023-11-10T01:18:57Z","Inmobiliaria","Alquiler","48","46","1","2",NA,"Departamento","ARG","45000","45000","1302154907","2023-11","882.79","c(-58.5617392, -34.6051582)","FALSE","45000","50.97","937.5","1.06","978.26","1.11","18","01","06840010","Caseros","Caseros","Caseros","FALSE","FALSE","FALSE","FALSE",NA,NA,"DP",NA,NA,NA
"2","2023-12-31T00:00:00Z","2022-08-11T10:07:08Z","2023-11-10T01:18:57Z","Inmobiliaria","Alquiler","48","46","1","2",NA,"Departamento","ARG","45000","45000","1302154907","2023-12","965.59","c(-58.5617392, -34.6051582)","FALSE","45000","46.6","937.5","0.97","978.26","1.01","18","01","06840010","Caseros","Caseros","Caseros","FALSE","FALSE","FALSE","FALSE",NA,NA,"DP",NA,NA,NA
"3","2024-01-31T00:00:00Z","2022-08-11T00:00:00Z","2023-11-10T00:00:00Z","Inmobiliaria","Alquiler","48","46","1","2",NA,"Departamento","ARG","45000","45000","1302154907","2024-01","1153.54","c(-58.5617392, -34.6051582)","FALSE","45000","39.01","937.5","0.81","978.26","0.85","18","01","06840010","Caseros","Caseros","Caseros","FALSE","FALSE","FALSE","FALSE",NA,NA,"DP",NA,NA,NA
"4","2024-07-18T00:00:00Z","2024-07-02T08:04:12Z","2024-10-01T09:48:34Z","Inmobiliaria","Alquiler","42","39","1","2",NA,"Departamento","ARG","230000","230000","1302154907","2024-07","1351.65","c(-58.5591644, -34.6012844)","FALSE","230000","170.16","5476.19","4.05","5897.44","4.36","18","01","06840010","Caseros",NA,NA,"FALSE","FALSE","FALSE","FALSE",NA,NA,"DP","Caseros","2 ambientes",NA
"5","2023-11-29T00:00:00Z","2023-08-09T16:17:53Z","2024-02-05T00:00:00Z","Inmobiliaria","Alquiler","37","34","1","2",NA,"Departamento","ARG","170000","170000","1764670679","2023-11","882.79","c(-58.5657817, -34.6099965)","FALSE","170000","192.57","4594.59","5.2","5000","5.66","18","01","06840010","Caseros","Caseros","Caseros","FALSE","FALSE","FALSE","FALSE",NA,NA,NA,NA,NA,NA
"6","2023-12-13T00:00:00Z","2023-08-09T16:17:53Z","2024-02-05T00:00:00Z","Inmobiliaria","Alquiler","37","34","1","2",NA,"Departamento","ARG","180000","180000","1764670679","2023-12","965.59","c(-58.5657817, -34.6099965)","FALSE","180000","186.41","4864.86","5.04","5294.12","5.48","18","01","06840010","Caseros","Caseros","Caseros","FALSE","FALSE","FALSE","FALSE",NA,NA,NA,NA,NA,NA
"7","2023-11-29T00:00:00Z","2023-09-18T16:30:02Z","2023-12-29T21:08:13Z","Inmobiliaria","Alquiler","42","40","1","2",NA,"Departamento","ARG","120000","120000","1777402927","2023-11","882.79","c(-58.5918204, -34.6005889)","FALSE","120000","135.93","2857.14","3.24","3000","3.4","19","03","06840010","Ciudad Jardín Lomas del Palomar","Ciudad Jardín Lomas del Palomar","Centro","FALSE","FALSE","FALSE","FALSE",NA,NA,NA,NA,NA,NA
"8","2023-12-31T00:00:00Z","2023-09-18T16:30:02Z","2024-01-07T09:25:08Z","Inmobiliaria","Alquiler","42","40","1","2",NA,"Departamento","ARG","120000","120000","1777402927","2023-12","965.59","c(-58.5918204, -34.6005889)","FALSE","120000","124.28","2857.14","2.96","3000","3.11","19","03","06840010","Ciudad Jardín Lomas del Palomar","Ciudad Jardín Lomas del Palomar","Centro","FALSE","FALSE","FALSE","FALSE",NA,NA,NA,NA,NA,NA
"9","2024-01-06T00:00:00Z","2023-09-18T00:00:00Z","2024-01-07T00:00:00Z","Inmobiliaria","Alquiler","42","40","1","2",NA,"Departamento","ARG","120000","120000","1777402927","2024-01","1153.54","c(-58.5918204, -34.6005889)","FALSE","120000","104.03","2857.14","2.48","3000","2.6","19","03","06840010","Ciudad Jardín Lomas del Palomar","Ciudad Jardín Lomas del Palomar","Centro","FALSE","FALSE","FALSE","FALSE",NA,NA,NA,NA,NA,NA
"10","2024-07-30T00:00:00Z","2024-07-23T16:15:07Z","2024-10-21T00:00:00Z","Inmobiliaria","Alquiler","60","55","1","2",NA,"Departamento","ARG","340000","340000","1777402927","2024-07","1351.65","c(-58.5892145, -34.5906086)","FALSE","340000","251.54","5666.67","4.19","6181.82","4.57","20","08","06840010","Martín Coronado",NA,NA,"FALSE","FALSE","FALSE","FALSE",NA,NA,NA,"Centro","2 ambientes",NA
"11","2023-11-29T00:00:00Z","2023-09-27T17:10:25Z","2023-12-26T00:00:00Z","Inmobiliaria","Alquiler","38","36","1","2",NA,"Departamento","ARG","170000","170000","1780574971","2023-11","882.79","c(-58.567538, -34.5948896)","FALSE","170000","192.57","4473.68","5.07","4722.22","5.35","18","01","06840010","Caseros","Caseros","Caseros","FALSE","FALSE","FALSE","FALSE",NA,NA,NA,NA,NA,NA
"12","2023-12-04T00:00:00Z","2023-09-27T17:10:25Z","2023-12-26T00:00:00Z","Inmobiliaria","Alquiler","38","36","1","2",NA,"Departamento","ARG","170000","170000","1780574971","2023-12","965.59","c(-58.567538, -34.5948896)","FALSE","170000","176.06","4473.68","4.63","4722.22","4.89","18","01","06840010","Caseros","Caseros","Caseros","FALSE","FALSE","FALSE","FALSE",NA,NA,NA,NA,NA,NA
