"PROPERTY_TYPE","mediana_precio","por_cantidad_mt2","por_cot_dolar","cantidad_RIPTE","cantidad_SMVM","fecha"
"Casa",646.98,64698,57128334,128,391,"2023-11"
"Departamento",1317.07,59268.15,52333776.45,117,358,"2023-11"
"Casa",658.82,65882,63642012,131,408,"2023-12"
"Departamento",1316.67,59250.15,57235644.9,118,367,"2023-12"
"Casa",647.06,64706,74670724,134,479,"2024-01"
"Departamento",1285.71,57856.95,66766920.3,120,428,"2024-01"
"Casa",653.33,65333,73760957,119,410,"2024-02"
"Departamento",1304.955,58722.975,66298238.775,107,368,"2024-02"
"Casa",639.345,63934.5,65149255.5,92,321,"2024-03"
"Departamento",1307.69,58846.05,59964124.95,85,296,"2024-03"
"Casa",631.33,63133,65405788,80,296,"2024-04"
"Departamento",1309.52,58928.4,61049822.4,74,276,"2024-04"
"Casa",642.09,64209,76023456,86,324,"2024-05"
"Departamento",1304.35,58695.75,69495768,79,297,"2024-05"
"Casa",647.06,64706,82888386,89,354,"2024-06"
"Departamento",1303.03,58636.35,75113164.35,80,321,"2024-06"
