nombre,dolaresm2tot,geometry
Sáenz Peña,1911.76,"c(-58.5330447, -34.6006556)"
Villa Bosch,1875,"c(-58.5728186, -34.5919661)"
Villa Bosch,1500,"c(-58.5731209, -34.5920024)"
Altos de Podestá,1587.3,"c(-58.6097104, -34.5841975)"
Martín Coronado,1590.91,"c(-58.6010257, -34.5853232)"
Martín Coronado,1590.91,"c(-58.6010257, -34.5853232)"
Santos Lugares,2237.5,"c(-58.5387836, -34.6014738)"
Caseros,1875,"c(-58.5656246, -34.6021879)"
Caseros,1666.67,"c(-58.5751442, -34.5925557)"
Caseros,1666.67,"c(-58.5751442, -34.5925557)"
Caseros,1666.67,"c(-58.5751442, -34.5925557)"
Villa Raffo,1431.03,"c(-58.5290871, -34.6078255)"
Caseros,1500,"c(-58.572445, -34.593661)"
Martín Coronado,1523.08,"c(-58.593814, -34.579355)"
El Libertador,595.24,"c(-58.6083367, -34.5601493)"
El Libertador,680.1,"c(-58.6104939, -34.560156)"
José Ingenieros,1600,"c(-58.5319968, -34.6162841)"
Ciudadela,2752.29,"c(-58.540995, -34.639477)"
Ciudadela,1224.49,"c(-58.5545362, -34.6319436)"
Ciudadela,1224.49,"c(-58.5545362, -34.6319436)"
Ciudad Jardín Lomas del Palomar,2000,"c(-58.5913266, -34.5933314)"
Caseros,1770.19,"c(-58.5639385, -34.6068805)"
Ciudad Jardín Lomas del Palomar,2250,"c(-58.594047, -34.5941433)"
Caseros,1300,"c(-58.5629752, -34.5941412)"
Caseros,1475,"c(-58.575163, -34.596804)"
Ciudad Jardín Lomas del Palomar,2081.08,"c(-58.5857724, -34.6001783)"
Ciudad Jardín Lomas del Palomar,2407.41,"c(-58.5891632, -34.6021715)"
Ciudad Jardín Lomas del Palomar,2063.49,"c(-58.5916394, -34.5919506)"
Ciudad Jardín Lomas del Palomar,2437.5,"c(-58.5938836, -34.5966881)"
Ciudad Jardín Lomas del Palomar,2460,"c(-58.5938836, -34.5966881)"
Ciudad Jardín Lomas del Palomar,2368.42,"c(-58.5961794, -34.5918696)"
Ciudad Jardín Lomas del Palomar,2160,"c(-58.5938836, -34.5966881)"
Caseros,1483.33,"c(-58.5583966, -34.5985549)"
Ciudad Jardín Lomas del Palomar,2000,"c(-58.5878761, -34.5987351)"
Ciudad Jardín Lomas del Palomar,2972.22,"c(-58.5918204, -34.6005889)"
Ciudadela,3269.23,"c(-58.5501037, -34.6344575)"
Ciudadela,3750,"c(-58.5412072, -34.6408482)"
Ciudadela,2000,"c(-58.5432951, -34.6352975)"
Caseros,1273.5,"c(-58.566243, -34.5982141)"
José Ingenieros,1100,"c(-58.531195, -34.621607)"
José Ingenieros,1100,"c(-58.531195, -34.621607)"
Santos Lugares,2054.79,"c(-58.5506061, -34.5937834)"
Ciudadela,1225,"c(-58.5457411, -34.6396206)"
Ciudadela,1500,"c(-58.5393273, -34.642376)"
Caseros,3142.86,"c(-58.5661327, -34.6022374)"
José Ingenieros,1142.86,"c(-58.5316345, -34.6191623)"
Caseros,1785.71,"c(-58.5634631, -34.6094827)"
Caseros,1363.64,"c(-58.563914, -34.608144)"
Caseros,1300,"c(-58.5650712, -34.6021493)"
Caseros,1344.83,"c(-58.5616243, -34.6111282)"
Caseros,1375,"c(-58.5786021, -34.6136036)"
Santos Lugares,4166.67,"c(-58.5521212, -34.6039007)"
Caseros,1351.35,"c(-58.5643149, -34.6104414)"
Caseros,1311.11,"c(-58.5590451, -34.6121653)"
Caseros,1481.48,"c(-58.5677744, -34.6123455)"
José Ingenieros,1088.24,"c(-58.5371253, -34.6178097)"
Caseros,1400,"c(-58.5450643, -34.6166037)"
Caseros,1287.88,"c(-58.5697615, -34.5948057)"
Caseros,1351.35,"c(-58.5623741, -34.6105003)"
Ciudadela,1833.33,"c(-58.532194, -34.6438798)"
El Libertador,760.87,"c(-58.5987053, -34.5625837)"
El Libertador,760.87,"c(-58.5987053, -34.5625837)"
Ciudadela,1688.31,"c(-58.5467181, -34.6372841)"
Caseros,1641.79,"c(-58.5737503, -34.5940953)"
Caseros,1641.79,"c(-58.5737503, -34.5940953)"
Ciudad Jardín Lomas del Palomar,2401.13,"c(-58.595634, -34.5929504)"
Ciudad Jardín Lomas del Palomar,2718.18,"c(-58.5993995, -34.5917623)"
Altos de Podestá,1411.76,"c(-58.6159765, -34.5778735)"
Ciudad Jardín Lomas del Palomar,2035.71,"c(-58.5929203, -34.5963438)"
Caseros,1399,"c(-58.573204, -34.5969403)"
Caseros,2133.93,"c(-58.5707973, -34.5963304)"
Caseros,2133.93,"c(-58.5707973, -34.5963304)"
Villa Bosch,1658.33,"c(-58.572473, -34.5872072)"
Caseros,1471.59,"c(-58.5707031, -34.6014693)"
Caseros,1399,"c(-58.573204, -34.5969403)"
Caseros,1322.27,"c(-58.5651614, -34.5995207)"
Caseros,1677.85,"c(-58.5601731, -34.5983864)"
Caseros,3166.67,"c(-58.5590643, -34.6091486)"
