zonas,dolaresm2tot,nombre,geometry
Centro,1830.99,Ciudad Jardín Lomas del Palomar,"c(-58.588382, -34.600793)"
Centro,1830.99,Ciudad Jardín Lomas del Palomar,"c(-58.588382, -34.600793)"
Centro,1780.82,Ciudad Jardín Lomas del Palomar,"c(-58.585853, -34.594885)"
Caseros,1666.67,Caseros,"c(-58.575144, -34.592556)"
Sur,1600,José Ingenieros,"c(-58.531997, -34.616284)"
Este,1823.53,Sáenz Peña,"c(-58.52992, -34.602125)"
Caseros,1500,Caseros,"c(-58.572445, -34.593661)"
Sur,1600,José Ingenieros,"c(-58.531997, -34.616284)"
Sur,2752.29,Ciudadela,"c(-58.540995, -34.639477)"
Sur,2752.29,Ciudadela,"c(-58.540995, -34.639477)"
Sur,3269.23,Ciudadela,"c(-58.550104, -34.634458)"
Caseros,1677.85,Caseros,"c(-58.560173, -34.598386)"
Caseros,1475,Caseros,"c(-58.575163, -34.596804)"
Centro,2160,Ciudad Jardín Lomas del Palomar,"c(-58.593884, -34.596688)"
Centro,2368.42,Ciudad Jardín Lomas del Palomar,"c(-58.596179, -34.59187)"
Centro,2460,Ciudad Jardín Lomas del Palomar,"c(-58.593884, -34.596688)"
Caseros,1483.33,Caseros,"c(-58.558397, -34.598555)"
Sur,1500,Ciudadela,"c(-58.539327, -34.642376)"
Caseros,3142.86,Caseros,"c(-58.566133, -34.602237)"
Caseros,1311.11,Caseros,"c(-58.559045, -34.612165)"
Caseros,1481.48,Caseros,"c(-58.567774, -34.612346)"
Este,4166.67,Santos Lugares,"c(-58.552121, -34.603901)"
Caseros,1884.62,Caseros,"c(-58.568347, -34.620191)"
Caseros,1785.71,Caseros,"c(-58.563463, -34.609483)"
Caseros,1363.64,Caseros,"c(-58.563914, -34.608144)"
Caseros,1524.39,Caseros,"c(-58.557383, -34.599418)"
Caseros,1351.35,Caseros,"c(-58.564315, -34.610441)"
Caseros,1287.88,Caseros,"c(-58.569762, -34.594806)"
Sur,1688.31,Ciudadela,"c(-58.546718, -34.637284)"
Norte,937.5,Loma Hermosa,"c(-58.6058, -34.57122)"
Centro,2718.18,Ciudad Jardín Lomas del Palomar,"c(-58.5994, -34.591762)"
Caseros,2133.93,Caseros,"c(-58.570797, -34.59633)"
Caseros,1471.59,Caseros,"c(-58.570703, -34.601469)"
Caseros,1399,Caseros,"c(-58.573204, -34.59694)"
Centro,1825,Villa Bosch,"c(-58.572473, -34.587207)"
Caseros,2133.93,Caseros,"c(-58.570797, -34.59633)"
Caseros,1322.27,Caseros,"c(-58.565161, -34.599521)"
Este,1733.33,Sáenz Peña,"c(-58.528132, -34.60128)"
Centro,1830.99,Ciudad Jardín Lomas del Palomar,"c(-58.588382, -34.600793)"
Centro,2250,Ciudad Jardín Lomas del Palomar,"c(-58.594047, -34.594143)"
Centro,2000,Ciudad Jardín Lomas del Palomar,"c(-58.591327, -34.593331)"
Este,1911.76,Sáenz Peña,"c(-58.533045, -34.600656)"
Centro,1780.82,Ciudad Jardín Lomas del Palomar,"c(-58.585853, -34.594885)"
Centro,1780.82,Ciudad Jardín Lomas del Palomar,"c(-58.585853, -34.594885)"
Caseros,1875,Caseros,"c(-58.565625, -34.602188)"
Este,2237.5,Santos Lugares,"c(-58.538784, -34.601474)"
Centro,1875,Villa Bosch,"c(-58.572819, -34.591966)"
Caseros,1770.19,Caseros,"c(-58.563939, -34.606881)"
Centro,1853.33,Ciudad Jardín Lomas del Palomar,"c(-58.586956, -34.601326)"
Norte,900,El Libertador,"c(-58.611345, -34.560163)"
Caseros,1666.67,Caseros,"c(-58.575144, -34.592556)"
Caseros,3166.67,Caseros,"c(-58.559064, -34.609149)"
Caseros,1300,Caseros,"c(-58.562975, -34.594141)"
Caseros,1351.35,Caseros,"c(-58.562374, -34.6105)"
Sur,3750,Ciudadela,"c(-58.541207, -34.640848)"
Centro,1866.67,Ciudad Jardín Lomas del Palomar,"c(-58.600227, -34.590187)"
Caseros,1375,Caseros,"c(-58.578602, -34.613604)"
Centro,2063.49,Ciudad Jardín Lomas del Palomar,"c(-58.591639, -34.591951)"
Centro,2437.5,Ciudad Jardín Lomas del Palomar,"c(-58.593884, -34.596688)"
Sur,2000,Ciudadela,"c(-58.543295, -34.635298)"
Centro,2000,Ciudad Jardín Lomas del Palomar,"c(-58.587876, -34.598735)"
Centro,2407.41,Ciudad Jardín Lomas del Palomar,"c(-58.589163, -34.602172)"
Centro,2035.71,Ciudad Jardín Lomas del Palomar,"c(-58.59292, -34.596344)"
Centro,2081.08,Ciudad Jardín Lomas del Palomar,"c(-58.585772, -34.600178)"
Centro,2401.13,Ciudad Jardín Lomas del Palomar,"c(-58.595634, -34.59295)"
Caseros,1399,Caseros,"c(-58.573204, -34.59694)"
Centro,1964.29,Ciudad Jardín Lomas del Palomar,"c(-58.588773, -34.601634)"
Caseros,1400,Caseros,"c(-58.545064, -34.616604)"
Caseros,1300,Caseros,"c(-58.565071, -34.602149)"
