nombre,dolaresm2tot,geometry
Martín Coronado,1429,"c(-58.598884, -34.579937)"
Sáenz Peña,1912,"c(-58.533045, -34.600656)"
Altos de Podestá,1587,"c(-58.60971, -34.584198)"
Altos de Podestá,1587,"c(-58.60971, -34.584198)"
Santos Lugares,2238,"c(-58.538784, -34.601474)"
Caseros,1875,"c(-58.565625, -34.602188)"
Loma Hermosa,889,"c(-58.60424, -34.569734)"
Santos Lugares,2264,"c(-58.553824, -34.600803)"
Ciudad Jardín Lomas del Palomar,2277,"c(-58.59133, -34.593345)"
Ciudad Jardín Lomas del Palomar,2277,"c(-58.59133, -34.593345)"
Caseros,1320,"c(-58.553496, -34.607816)"
Ciudadela,2752,"c(-58.540995, -34.639477)"
Ciudadela,1293,"c(-58.554536, -34.631944)"
Caseros,1770,"c(-58.563939, -34.606881)"
Ciudad Jardín Lomas del Palomar,2250,"c(-58.594047, -34.594143)"
Ciudad Jardín Lomas del Palomar,2407,"c(-58.589163, -34.602172)"
Ciudad Jardín Lomas del Palomar,1964,"c(-58.588773, -34.601634)"
Ciudad Jardín Lomas del Palomar,2460,"c(-58.593884, -34.596688)"
Ciudad Jardín Lomas del Palomar,1946,"c(-58.585772, -34.600178)"
Ciudad Jardín Lomas del Palomar,2000,"c(-58.587876, -34.598735)"
Ciudad Jardín Lomas del Palomar,2160,"c(-58.593884, -34.596688)"
Martín Coronado,1447,"c(-58.593806, -34.582354)"
Ciudadela,1332,"c(-58.539429, -34.642349)"
Caseros,1300,"c(-58.564519, -34.616206)"
Villa Bosch,1667,"c(-58.570867, -34.587794)"
Ciudad Jardín Lomas del Palomar,2181,"c(-58.587886, -34.602226)"
Ciudadela,3750,"c(-58.541207, -34.640848)"
Ciudadela,2000,"c(-58.543295, -34.635298)"
Santos Lugares,2055,"c(-58.550606, -34.593783)"
Ciudadela,1500,"c(-58.539327, -34.642376)"
José Ingenieros,1143,"c(-58.531635, -34.619162)"
Caseros,1481,"c(-58.567774, -34.612346)"
Caseros,1351,"c(-58.564315, -34.610441)"
Caseros,1311,"c(-58.559045, -34.612165)"
Caseros,1786,"c(-58.568351, -34.597254)"
Santos Lugares,4167,"c(-58.552121, -34.603901)"
Caseros,1300,"c(-58.565071, -34.602149)"
Caseros,1288,"c(-58.569762, -34.594806)"
Ciudad Jardín Lomas del Palomar,2181,"c(-58.587886, -34.602226)"
Ciudadela,1833,"c(-58.532194, -34.64388)"
Caseros,1642,"c(-58.57375, -34.594095)"
Caseros,1642,"c(-58.57375, -34.594095)"
Ciudad Jardín Lomas del Palomar,2401,"c(-58.595634, -34.59295)"
Ciudad Jardín Lomas del Palomar,1978,"c(-58.591368, -34.59621)"
Caseros,1399,"c(-58.573204, -34.59694)"
Caseros,1322,"c(-58.565161, -34.599521)"
Caseros,1678,"c(-58.560173, -34.598386)"
Caseros,1351,"c(-58.562374, -34.6105)"
Martín Coronado,1892,"c(-58.586936, -34.585914)"
Ciudad Jardín Lomas del Palomar,2063,"c(-58.591639, -34.591951)"
Villa Bosch,1667,"c(-58.570867, -34.587794)"
Caseros,1600,"c(-58.575144, -34.592556)"
Martín Coronado,1494,"c(-58.597615, -34.587232)"
Ciudadela,1688,"c(-58.546718, -34.637284)"
José Ingenieros,1088,"c(-58.537125, -34.61781)"
Ciudadela,3269,"c(-58.550104, -34.634458)"
Caseros,1399,"c(-58.573204, -34.59694)"
Loma Hermosa,1312,"c(-58.600677, -34.564798)"
Caseros,3167,"c(-58.559064, -34.609149)"
Martín Coronado,1494,"c(-58.597615, -34.587232)"
Loma Hermosa,1312,"c(-58.600677, -34.564798)"
Caseros,1320,"c(-58.553496, -34.607816)"
Ciudad Jardín Lomas del Palomar,3368,"c(-58.59182, -34.600589)"
Santos Lugares,2264,"c(-58.553798, -34.6011)"
José Ingenieros,1600,"c(-58.531997, -34.616284)"
Loma Hermosa,889,"c(-58.60424, -34.569734)"
Ciudadela,1316,"c(-58.539248, -34.643048)"
Caseros,1317,"c(-58.545064, -34.616604)"
Ciudad Jardín Lomas del Palomar,2181,"c(-58.587886, -34.602226)"
Villa Bosch,1543,"c(-58.566284, -34.588141)"
Villa Bosch,1575,"c(-58.572473, -34.587207)"
Caseros,1875,"c(-58.558772, -34.6042)"
Caseros,1475,"c(-58.575163, -34.596804)"
Caseros,1375,"c(-58.578602, -34.613604)"
Ciudad Jardín Lomas del Palomar,2277,"c(-58.59133, -34.593345)"
Ciudadela,1418,"c(-58.540681, -34.643613)"
Caseros,1300,"c(-58.562975, -34.594141)"
Ciudadela,1688,"c(-58.546718, -34.637284)"
Caseros,1455,"c(-58.570506, -34.595967)"
Ciudad Jardín Lomas del Palomar,2718,"c(-58.5994, -34.591762)"
Caseros,3143,"c(-58.566133, -34.602237)"
Caseros,1500,"c(-58.572445, -34.593661)"
José Ingenieros,1900,"c(-58.535721, -34.617162)"
Caseros,2342,"c(-58.578437, -34.593932)"
Caseros,1345,"c(-58.561624, -34.611128)"
Martín Coronado,1494,"c(-58.597615, -34.587232)"
