nombre,dolaresm2tot,geometry
Martín Coronado,347.27,"c(-58.590801, -34.583185)"
Caseros,2400,"c(-58.556904, -34.609633)"
Caseros,2560,"c(-58.556904, -34.609633)"
Santos Lugares,2363.64,"c(-58.539862, -34.60092)"
Martín Coronado,2400,"c(-58.597198, -34.587573)"
Martín Coronado,2365.59,"c(-58.597198, -34.587573)"
Ciudad Jardín Lomas del Palomar,2795.7,"c(-58.59526, -34.604176)"
Martín Coronado,2627.59,"c(-58.594692, -34.588099)"
Martín Coronado,2627.59,"c(-58.594692, -34.588099)"
Ciudadela,254.9,"c(-58.53115, -34.641855)"
Villa Bosch,202.56,"c(-58.588929, -34.576913)"
Caseros,410.78,"c(-58.56973, -34.607003)"
Caseros,2216.49,"c(-58.563146, -34.608082)"
Ciudadela,12500,"c(-58.542879, -34.635744)"
Martín Coronado,109.4,"c(-58.59194, -34.587861)"
Ciudadela,316.67,"c(-58.543627, -34.619707)"
Caseros,400,"c(-58.541738, -34.616835)"
Martín Coronado,2500,"c(-58.595234, -34.587101)"
Martín Coronado,2500,"c(-58.595234, -34.587101)"
Villa Bosch,176.92,"c(-58.588929, -34.576913)"
Santos Lugares,2363.64,"c(-58.540128, -34.601316)"
Caseros,2152.78,"c(-58.567309, -34.605557)"
Caseros,416.67,"c(-58.55802, -34.60699)"
Caseros,404.23,"c(-58.55802, -34.60699)"
Santos Lugares,526.92,"c(-58.543769, -34.599782)"
Caseros,301.67,"c(-58.55802, -34.60699)"
Santos Lugares,527.03,"c(-58.546734, -34.599065)"
Santos Lugares,446.88,"c(-58.543769, -34.599782)"
Santos Lugares,438.1,"c(-58.543769, -34.599782)"
Caseros,337.11,"c(-58.563939, -34.606881)"
Caseros,418.46,"c(-58.55802, -34.60699)"
Caseros,410.81,"c(-58.55802, -34.60699)"
Santos Lugares,513.16,"c(-58.549198, -34.595607)"
Santos Lugares,473.33,"c(-58.543769, -34.599782)"
Caseros,369.81,"c(-58.563939, -34.606881)"
Caseros,412.7,"c(-58.569587, -34.613915)"
Caseros,179.31,"c(-58.564261, -34.600176)"
Caseros,2164.95,"c(-58.563463, -34.609483)"
Caseros,2187.5,"c(-58.561947, -34.601849)"
Santos Lugares,717.95,"c(-58.553508, -34.599211)"
Caseros,2303.03,"c(-58.560851, -34.595304)"
Caseros,2228.57,"c(-58.565145, -34.597516)"
Caseros,2529.41,"c(-58.563463, -34.609483)"
Caseros,2604.17,"c(-58.560543, -34.601215)"
Santos Lugares,2295.08,"c(-58.540338, -34.599635)"
Caseros,2242.42,"c(-58.559917, -34.600397)"
Santos Lugares,2586.21,"c(-58.545544, -34.600589)"
Santos Lugares,2235.77,"c(-58.538843, -34.600514)"
Caseros,2250,"c(-58.564252, -34.610273)"
Santos Lugares,2600,"c(-58.537871, -34.601616)"
Caseros,2171.05,"c(-58.563911, -34.621437)"
Caseros,2272.73,"c(-58.561993, -34.609497)"
Caseros,2241.38,"c(-58.560503, -34.611257)"
Caseros,370.08,"c(-58.574162, -34.619793)"
Caseros,365.74,"c(-58.564762, -34.626617)"
Caseros,369.57,"c(-58.57586, -34.608332)"
Ciudad Jardín Lomas del Palomar,2361.11,"c(-58.591368, -34.59621)"
